"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"H1 Hesc","48h","50ng/mL","GSE41009","RNASeq","","FAM20A","1.700","3.853","False"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","CLC","-2.415","-3.853","False"
"H9 Hesc","48h","50ng/mL","GSE76586","RNASeq","","SLC2A10","-1.960","-3.852","True"
"H1 Hesc","48h","50ng/mL","GSE41009","RNASeq","","FGFR4","-1.700","-3.852","False"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","FAM160A1","1.581","3.851","False"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","SF3A2","2.413","3.850","False"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","CHADL","1.581","3.849","False"
"H1 Hesc","48h","50ng/mL","GSE41009","RNASeq","","SPRY4","-1.698","-3.848","False"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","PPP1R3B","1.580","3.848","False"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","KLF8","1.700","3.848","True"
"Embryonic Stem Cell H1","30h","","GSE99202","RNASeq","","CNTNAP2","1.934","3.847","True"
"Pbmc","","","GSE78276","RNASeq","","NCF4","0.726","3.847","True"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","PRKG1","0.733","3.847","False"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","PRNP","-1.327","-3.847","False"
"H1 Hesc","48h","50ng/mL","GSE41009","RNASeq","","RPL30","1.697","3.847","False"
"H9 Hesc","48h","50ng/mL","GSE76586","RNASeq","","PLEKHH3","-1.957","-3.847","True"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","SPTSSB","-2.110","-3.847","True"
"H9 Hesc","48h","50ng/mL","GSE76586","RNASeq","","ANKRD24","-1.956","-3.846","True"
"Hesc Line H1","","","GSE21715","MicroArray","GPL10399","TBC1D9","1.865","3.845","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","ANGPT1","2.115","3.844","True"
"Hesc Line H1","","","GSE21715","MicroArray","GPL10399","LRRC8D","-1.864","-3.843","True"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","DLL1","-1.371","-3.843","False"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","PHLDA2","2.408","3.842","False"
"Pbmc","","","GSE78276","RNASeq","","TNFRSF12A","0.725","3.842","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","ATP8A1","1.697","3.841","True"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","PPFIBP2","2.107","3.841","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","LCK","-1.178","-3.841","True"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","APOA2","2.106","3.840","True"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","IFIT1","-0.732","-3.840","False"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","CCDC80","2.977","3.840","True"
"Hesc Line H1","","","GSE21715","MicroArray","GPL10399","DPPA2","-1.862","-3.839","True"
"Embryonic Stem Cell H1","30h","","GSE99202","RNASeq","","RNU12","1.929","3.839","True"
"Embryonic Stem Cell H1","24h","","GSE99202","RNASeq","","NDUFA13","-1.684","-3.838","False"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","KRT19","2.976","3.837","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","CYP19A1","2.976","3.837","True"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","SCT","1.369","3.837","False"
"Ipsc3.6","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","FLRT2","1.972","3.837","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","GNG4","-2.975","-3.837","True"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","PTPRZ1","-2.104","-3.836","True"
