"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","TAP2","0.914","2.494","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","CD248","-0.914","-2.494","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","CLIC4","0.514","2.493","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","SPINK4","-0.437","-2.493","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","APLN","-0.514","-2.493","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","S100A5","0.352","2.493","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","VEGFC","0.914","2.493","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","FOXD4","-0.656","-2.492","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","FUT5","0.514","2.492","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","PRSS2","-0.914","-2.492","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","WDR76","-0.352","-2.491","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","CISH","0.437","2.491","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","ABITRAM","-0.619","-2.488","False"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","PCAT4","-0.436","-2.488","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","RALA","0.912","2.488","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","MITF","-0.912","-2.488","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","PLCXD2","0.618","2.487","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","CFAP44","0.654","2.487","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","CASQ1","0.654","2.486","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","TMEM204","-0.618","-2.486","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","PDE7B","-0.618","-2.486","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","KLK4","0.618","2.485","False"
"Chordoma","","","GSE86036","MicroArray","GPL17692","DENND10","-0.512","-2.485","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","STEAP4","0.911","2.484","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","ZFP69B","0.512","2.484","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","DDI2","0.653","2.484","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","TTC4","0.653","2.483","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","ROM1","0.910","2.483","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","SOSTDC1","-0.435","-2.483","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","CARHSP1","0.435","2.483","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","HGD","-0.653","-2.483","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","MC5R","-0.617","-2.483","False"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","CHGB","0.435","2.483","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","CENPF","-0.351","-2.482","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","GRM5","-0.617","-2.482","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","LCE3D","0.653","2.482","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","ZNRF4","0.512","2.482","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","TF","-0.512","-2.482","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","ANKRD1","0.435","2.482","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","PSD4","-0.653","-2.481","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","WIPF1","-0.617","-2.481","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","INSL5","-0.652","-2.481","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","LGALS13","-0.435","-2.480","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","NEDD4","0.511","2.480","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","HEXA","0.652","2.480","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","MVP","-0.617","-2.480","False"
"Chordoma","","","GSE86036","MicroArray","GPL17692","SFR1","0.511","2.479","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","AMPD3","0.511","2.479","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","PDZK1","-0.511","-2.479","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","IL11","-0.909","-2.479","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","AURKB","-0.435","-2.478","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","DOK2","-0.652","-2.478","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","FGF5","0.908","2.477","True"
