"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","SF3A2","2.805","5.470","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","SF3A2","2.734","5.463","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","LOC728392","-2.797","-5.453","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","PAQR4","2.709","5.411","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","IRF9","2.764","5.390","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","RAB6A","2.697","5.388","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","TRG-AS1","-2.693","-5.380","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","AACS","-2.756","-5.373","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","C4orf36","-2.751","-5.365","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","CDKN3","2.682","5.357","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","ZNF775","-2.742","-5.346","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","CAPN3","-2.733","-5.330","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","LOC100129917","-2.716","-5.296","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","NVL","-2.650","-5.294","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","IRF9","2.635","5.263","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","NVL","-2.695","-5.255","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PIGW","2.693","5.251","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","DYRK4","2.681","5.228","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","PRRT3","-2.612","-5.217","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","WDR73","-2.671","-5.207","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PRDM4","-2.660","-5.186","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","C11orf1","-2.647","-5.161","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","MCM4","2.577","5.148","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","CDKN3","2.636","5.140","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","RAB4B","2.629","5.127","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","STK32B","2.564","5.123","False"
