"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"H358 Lung","72h","285U/mL","GSE125365","RNASeq","","GINS1","-3.870","-5.417","True"
"H358 Lung","72h","285U/mL","GSE125365","RNASeq","","PBK","-3.869","-5.416","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","C15orf48","4.286","5.416","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","ITGA5","1.653","5.416","True"
"H358 Lung","6h","285U/mL","GSE125365","RNASeq","","IFITM1","-0.455","-5.416","False"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","TOX2","2.908","5.415","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","RRBP1","-0.444","-5.414","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","CCR1","-2.260","-5.411","False"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","PTTG3P","-0.443","-5.408","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","MEST","-2.582","-5.406","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CDC45","-0.443","-5.406","True"
"Heart Valve Endothelial","8h","","GSE65445","MicroArray","GPL10904","KCTD12","-1.912","-5.405","True"
"B","12h","2.5ng/mL","GSE120367","MicroArray","GPL10558","SOCS1","0.461","5.404","True"
"H358 Lung","1h","285U/mL","GSE125365","RNASeq","","RSBN1","-0.427","-5.404","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","SLC19A2","2.901","5.402","True"
"Bm Msc","21d","","GSE10315","MicroArray","HG-U133_Plus_2","PPL","2.898","5.401","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","PSMB9","-2.256","-5.401","False"
"B","6h","2.5ng/mL","GSE120367","MicroArray","GPL10558","PTPN7","0.398","5.399","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","KIF11","-4.271","-5.397","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","CCDC189","0.484","5.397","True"
"B","1h","2.5ng/mL","GSE120367","MicroArray","GPL10558","RGS1","0.272","5.396","False"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","PTHLH","1.647","5.395","True"
"H358 Lung","72h","285U/mL","GSE125365","RNASeq","","CDKN1A","3.851","5.391","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","FGFBP1","-1.645","-5.389","True"
"H358 Lung","72h","285U/mL","GSE125365","RNASeq","","FANCI","-3.849","-5.388","True"
"A549 Lung","","10ng/mL","GSE125369","RNASeq","","CCL2","3.087","5.386","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","LCP1","-0.483","-5.386","True"
"Heart Valve Endothelial","8h","","GSE65445","MicroArray","GPL10904","RGCC","1.905","5.385","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","LDLRAD3","2.891","5.384","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","LINC01561","2.248","5.384","False"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","ODC1","-4.259","-5.382","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CDKN3","-0.483","-5.381","True"
"B","7d","2.5ng/mL","GSE120367","MicroArray","GPL10558","TUBA1B","-0.495","-5.379","False"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","KIF2C","-2.768","-5.378","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","SH2B3","0.388","5.377","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","SLC44A1","2.997","5.375","True"
"H358 Lung","4500h","285U/mL","GSE125365","RNASeq","","PTHLH","3.420","5.375","True"
"H358 Lung","2h","285U/mL","GSE125365","RNASeq","","LYSMD1","-0.437","-5.374","False"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","SPON1","2.886","5.374","True"
"Heart Valve Interstitial","8h","","GSE65445","MicroArray","GPL10904","DEPP1","1.674","5.369","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","PLOD2","1.638","5.368","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","RGS19","0.388","5.365","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","IL1R1","2.562","5.364","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","RBM38","0.482","5.363","True"
"H358 Lung","18h","285U/mL","GSE125365","RNASeq","","RRAD","1.614","5.362","True"
"Heart Valve Interstitial","8h","","GSE65445","MicroArray","GPL10904","CD38","1.672","5.362","True"
"Heart Valve Interstitial","8h","","GSE65445","MicroArray","GPL10904","ID2","1.672","5.362","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","NCF2","1.435","5.360","True"
"H358 Lung","72h","285U/mL","GSE125365","RNASeq","","SKA3","-3.828","-5.358","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","GFPT2","2.559","5.358","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","DLGAP5","-0.439","-5.357","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","PCLAF","-0.480","-5.357","True"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","NCAPH","-2.756","-5.355","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","CLK1","2.985","5.353","True"
"H358 Lung","18h","285U/mL","GSE125365","RNASeq","","CTSS","1.611","5.353","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","MELK","-0.439","-5.352","True"
"B","6h","2.5ng/mL","GSE120367","MicroArray","GPL10558","SPSB1","0.394","5.351","True"
