"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CCNG2","0.189","2.482","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TRIM17","-0.222","-2.481","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","CD79A","-1.440","-2.480","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","MOB3B","0.259","2.480","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","OPLAH","0.189","2.480","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TLCD3A","-0.189","-2.480","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","BIN1","-1.439","-2.479","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","SDS","0.369","2.479","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","RNASEL","0.259","2.479","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ATR","-1.439","-2.479","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","GBP1","-0.241","-2.479","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PDK4","0.259","2.479","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","TIPARP","-0.299","-2.478","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","SMPDL3A","0.261","2.478","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","FCRL3","-1.438","-2.477","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ZNF559","-1.438","-2.477","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CLEC4E","-0.259","-2.477","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MRPL15","-0.298","-2.476","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LYZ","-0.298","-2.476","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","GCLC","-1.437","-2.476","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","IRF1","-0.298","-2.476","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","SORL1","-0.222","-2.475","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","STK38","0.258","2.474","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CYP1B1","0.303","2.473","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TACR2","-0.222","-2.473","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","LILRB1","0.240","2.473","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TRIM31","0.258","2.473","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","DPYSL2","-0.222","-2.473","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","IL18R1","-0.298","-2.473","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ZFYVE9","0.188","2.472","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","TBC1D2B","0.368","2.472","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","PCK2","0.303","2.472","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ZBTB38","0.221","2.471","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","BNC2","-0.221","-2.471","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ZNF146","-1.434","-2.470","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","HLA-DRA","-1.434","-2.470","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PEMT","-0.258","-2.470","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","PNISR","-0.298","-2.469","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CYB5R2","0.188","2.469","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LGALS2","-0.298","-2.469","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RGL1","0.303","2.469","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","BACH1","0.221","2.469","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","MSH2","-1.433","-2.469","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","GALNT10","0.258","2.469","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TAF13","0.240","2.468","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","SAMD9","-0.297","-2.468","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","MCUB","-1.432","-2.467","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","LIPF","0.221","2.467","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","TNF","-0.367","-2.467","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","NAB1","-0.188","-2.466","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ZYX","1.431","2.465","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","TMEM259","-0.260","-2.465","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RNF13","0.302","2.465","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","MSMO1","-0.257","-2.465","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","SPP1","0.188","2.464","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ALG8","-0.297","-2.464","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","RPL31","-0.239","-2.463","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PLEKHG3","-0.188","-2.463","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PHF3","0.257","2.463","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ZWINT","1.429","2.462","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CD1D","-0.302","-2.462","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","HLA-DQA1","-0.302","-2.462","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","GTF2IRD1","0.297","2.462","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ZFHX3","0.297","2.462","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","NOL3","0.297","2.462","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ZNF438","1.429","2.461","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","MANEA","-0.239","-2.460","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ZNF493","-0.239","-2.460","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","NREP","-0.301","-2.460","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ALPK1","-0.257","-2.460","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","GREM2","0.239","2.459","True"
