"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","HOXD9","-1.216","-3.146","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","NKPD1","-1.380","-3.146","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","ZNF773","-0.143","-3.146","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","TIMP3","-1.020","-3.145","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","ZDHHC1","-0.176","-3.144","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","GATB","-0.763","-3.144","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","CEBPD","0.829","3.144","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","KCNB2","0.166","3.143","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","SPRR1A","1.019","3.143","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","NEUROD1","1.215","3.143","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","MSMB","-0.763","-3.142","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","MT1G","0.828","3.142","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","NAV1","1.221","3.142","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","C3","0.763","3.142","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","FOSL1","0.143","3.142","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","SHISA2","0.176","3.141","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","SUGCT","0.133","3.141","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","FAM183A","-0.133","-3.141","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","GJB6","-1.214","-3.141","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","PLK3","0.176","3.141","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","PLAU","0.762","3.140","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","GNMT","-0.133","-3.140","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","HAVCR1","0.133","3.139","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","PLK2","0.669","3.139","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","KCNQ4","-0.133","-3.139","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","ANKRD33B","1.220","3.139","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","VILL","-0.762","-3.137","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","CCDC13","-0.133","-3.134","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","NPHS2","0.133","3.134","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","CCDC136","-0.166","-3.134","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","CLDN19","-0.166","-3.134","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","DNASE1L2","-1.211","-3.133","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","SLC4A3","0.133","3.132","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","FLRT1","-0.667","-3.131","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","BANF2","1.210","3.130","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","PRDM12","0.175","3.130","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","GBP6","-0.760","-3.130","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","EPS8","0.143","3.129","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","TNFRSF10B","1.216","3.129","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","VILL","-0.165","-3.128","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","RIPPLY2","0.175","3.128","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","WNT8B","-0.142","-3.127","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","DNAJB1","-0.175","-3.127","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","LMCD1","-0.824","-3.127","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","CHRM2","0.666","3.127","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","CLDN10","0.666","3.126","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","TM6SF2","0.165","3.126","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","CYTL1","-0.175","-3.126","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","KRT36","-0.175","-3.126","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","CCDC13","-0.666","-3.126","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","HOXD12","-1.208","-3.125","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","MAOB","-0.824","-3.125","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","SERPINB1","1.013","3.124","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","GSAP","1.214","3.124","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","APOL6","1.214","3.124","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","STK10","1.214","3.124","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","CXCL2","0.165","3.121","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","PMFBP1","-0.133","-3.121","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","DOC2A","-1.206","-3.120","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","LPCAT2","-0.823","-3.120","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","NPY","-0.142","-3.119","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","INHBA","0.133","3.119","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","DSCR4","-0.133","-3.119","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","RAB39B","-1.205","-3.118","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","MPO","-0.132","-3.117","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","SULF1","0.175","3.117","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","N4BP2L1","0.174","3.117","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","RNF148","-0.132","-3.116","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","ZNF354C","0.142","3.116","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","BICDL2","-1.204","-3.116","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","PTHLH","-0.132","-3.116","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","CTAG2","-0.164","-3.115","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","NT5DC3","-0.132","-3.115","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","AMOT","-0.756","-3.114","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","ATP6V1H","-0.174","-3.114","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","OIT3","-0.142","-3.114","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","SAA1","0.756","3.114","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","C2orf66","-0.164","-3.113","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","HSD3B2","-0.132","-3.113","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","HAL","0.132","3.113","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","KRTAP3-1","-0.142","-3.113","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","SUGCT","0.142","3.112","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","SAMD5","-1.365","-3.111","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","NR4A1","0.174","3.111","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","CXCL16","1.009","3.111","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","TP63","0.663","3.110","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","SLCO3A1","1.209","3.110","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","THBS4","-0.132","-3.110","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","CARNS1","-0.174","-3.109","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","ABCB11","-1.364","-3.109","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","C2orf15","-0.755","-3.109","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","PPP4R1L","-0.174","-3.108","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","ADCY1","-1.201","-3.108","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","CCRL2","0.164","3.107","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","SLCO4C1","-0.819","-3.106","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","LOC730101","-1.363","-3.106","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","B3GLCT","0.754","3.106","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","UBTD1","-0.754","-3.106","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","CAPN14","-0.164","-3.106","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","MYO18B","0.164","3.106","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","PIGQ","-1.200","-3.105","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","FAAH","-0.174","-3.105","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","LAIR1","-0.174","-3.105","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","IGFBP2","-1.362","-3.104","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","SIGLEC8","-0.141","-3.104","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","FOLR1","-0.818","-3.104","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","CLDN10","-0.174","-3.104","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","RAB38","1.006","3.104","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","BPIFB1","1.199","3.104","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","NEDD9","-0.174","-3.103","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","BID","0.753","3.101","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","STEAP4","-0.164","-3.100","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","MAGEA11","-0.132","-3.100","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","ARMCX2","1.198","3.100","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","CNTF","0.660","3.099","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","FHOD3","-0.141","-3.099","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","LIF","0.817","3.099","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","DENND2B","1.204","3.098","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","ANO9","1.005","3.098","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","RHOH","0.660","3.098","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","ZNF214","-1.359","-3.098","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","HLF","-0.132","-3.097","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","CITED4","1.359","3.097","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","HLA-J","0.816","3.097","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","AKAP12","0.164","3.097","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","GPR137C","-0.141","-3.097","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","CA10","-1.197","-3.097","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","KRTAP3-1","-0.132","-3.096","True"
