"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Huh7.5","24h","","GSE89610","MicroArray","HuGene-1_0-st-v1","CDC45","2.478","4.517","False"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","SLC16A14","-1.360","-4.517","True"
"Fibroblast","24h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","MCM3","-0.659","-4.516","False"
"Cultured Macrophage","","","GSE18686","MicroArray","GPL6947","ID3","-0.451","-4.515","True"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","BMP2","1.359","4.515","True"
"Fibroblast","4h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","TRPA1","0.611","4.514","False"
"Primary Hepatic Stellate","","40ng/mL","GSE119047","RNASeq","","COL7A1","-0.237","-4.513","False"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","SPSB1","2.276","4.512","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","MLST8","2.897","4.510","True"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","ATXN7L3","-1.091","-4.509","False"
"Cd14+ Monocyte","24h","200ng/mL","GSE54884","MicroArray","HG-U133A_2","RPL37A","-1.608","-4.509","True"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","CXCL5","-2.274","-4.507","False"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","ATF3","2.274","4.507","False"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","IL1B","1.357","4.507","True"
"Primary Hepatic Stellate","","40ng/mL","GSE119047","RNASeq","","HSD17B7P2","-0.237","-4.507","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","SEC16A","-1.090","-4.504","False"
"Su-Dhl2","72h","200pg/mL","GSE115855","MicroArray","GPL13497","ASCL1","-0.840","-4.504","False"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","GINS4","-1.010","-4.504","True"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","XPOT","1.090","4.503","False"
"Fibroblast","4h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","ZGRF1","0.609","4.499","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","MTA1","-1.089","-4.499","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","EOLA1","2.890","4.499","True"
"Hbe","24h","","GSE10240","MicroArray","HG-U133A_2","ALDOC","1.062","4.498","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","TFRC","1.463","4.496","True"
