,plate_name,position,sample,pool,concentration,concentration_unit,antigen_in_sample,variable,value
91,CALI2,H04,AgPool2,2,0.241592,ng/mL,IL-23,IL-12 p40,-0.40498841468483704
92,CALI2,H07,AgPool4,4,368.64000000000004,ng/mL,IL-12 p40,IL-12 p40,78.05592123529088
93,CALI2,H08,AgPool4,4,0.241592,ng/mL,IL-12 p40,IL-12 p40,0.42823279646366785
94,CALI2,H09,AgPool5,5,368.64000000000004,ng/mL,IL-12 p70,IL-12 p40,62.45838561428574
95,CALI2,H10,AgPool5,5,0.241592,ng/mL,IL-12 p70,IL-12 p40,-1.1217212737673066
96,CALI1,A03,AgPool2,2,225000.0,ng/mL,IL-23,IL-12 p70,-3.510148532426527
97,CALI1,A04,AgPool2,2,147.45600000000002,ng/mL,IL-23,IL-12 p70,0.12483029458465467
98,CALI1,A07,AgPool4,4,225000.0,ng/mL,IL-12 p40,IL-12 p70,-5.420711047099935
99,CALI1,A08,AgPool4,4,147.45600000000002,ng/mL,IL-12 p40,IL-12 p70,0.43673310439125146
100,CALI1,A09,AgPool5,5,225000.0,ng/mL,IL-12 p70,IL-12 p70,57.738122148663074
101,CALI1,A10,AgPool5,5,147.45600000000002,ng/mL,IL-12 p70,IL-12 p70,12.88987590311379
102,CALI1,B03,AgPool2,2,90000.0,ng/mL,IL-23,IL-12 p70,-3.2120216745738617
103,CALI1,B04,AgPool2,2,58.9824,ng/mL,IL-23,IL-12 p70,-1.260165912161959
104,CALI1,B07,AgPool4,4,90000.0,ng/mL,IL-12 p40,IL-12 p70,-3.3988498141464873
105,CALI1,B08,AgPool4,4,58.9824,ng/mL,IL-12 p40,IL-12 p70,0.06232702727064776
106,CALI1,B09,AgPool5,5,90000.0,ng/mL,IL-12 p70,IL-12 p70,59.12367084658108
107,CALI1,B10,AgPool5,5,58.9824,ng/mL,IL-12 p70,IL-12 p70,6.90258359219893
108,CALI1,C03,AgPool2,2,36000.0,ng/mL,IL-23,IL-12 p70,-2.222930202722395
109,CALI1,C04,AgPool2,2,23.592959999999998,ng/mL,IL-23,IL-12 p70,0.9228176925576648
110,CALI1,C07,AgPool4,4,36000.0,ng/mL,IL-12 p40,IL-12 p70,-0.714950934098546
111,CALI1,C08,AgPool4,4,23.592959999999998,ng/mL,IL-12 p40,IL-12 p70,-0.3762334403349499
112,CALI1,C09,AgPool5,5,36000.0,ng/mL,IL-12 p70,IL-12 p70,60.59260909184694
113,CALI1,C10,AgPool5,5,23.592959999999998,ng/mL,IL-12 p70,IL-12 p70,2.6084769080442882
114,CALI1,D03,AgPool2,2,14400.0,ng/mL,IL-23,IL-12 p70,-2.208133207417262
115,CALI1,D04,AgPool2,2,9.437184,ng/mL,IL-23,IL-12 p70,-0.8848343736666209
116,CALI1,D07,AgPool4,4,14400.0,ng/mL,IL-12 p40,IL-12 p70,-1.4650552944880602
117,CALI1,D08,AgPool4,4,9.437184,ng/mL,IL-12 p40,IL-12 p70,-1.349747933228329
118,CALI1,D09,AgPool5,5,14400.0,ng/mL,IL-12 p70,IL-12 p70,60.1861117570218
119,CALI1,D10,AgPool5,5,9.437184,ng/mL,IL-12 p70,IL-12 p70,0.2585072369615915
120,CALI1,E03,AgPool2,2,5760.0,ng/mL,IL-23,IL-12 p70,-1.1228625278137727
121,CALI1,E04,AgPool2,2,3.774874,ng/mL,IL-23,IL-12 p70,1.3016395373762535
122,CALI1,E07,AgPool4,4,5760.0,ng/mL,IL-12 p40,IL-12 p70,-0.6974663719187646
123,CALI1,E08,AgPool4,4,3.774874,ng/mL,IL-12 p40,IL-12 p70,-1.4895525155338873
124,CALI1,E09,AgPool5,5,5760.0,ng/mL,IL-12 p70,IL-12 p70,60.67370712216693
125,CALI1,E10,AgPool5,5,3.774874,ng/mL,IL-12 p70,IL-12 p70,-0.05902551919021448
126,CALI1,F03,AgPool2,2,2304.0,ng/mL,IL-23,IL-12 p70,-1.134821450469481
127,CALI1,F04,AgPool2,2,1.509949,ng/mL,IL-23,IL-12 p70,-1.1445734687281828
128,CALI1,F07,AgPool4,4,2304.0,ng/mL,IL-12 p40,IL-12 p70,-0.2894507957025283
129,CALI1,F08,AgPool4,4,1.509949,ng/mL,IL-12 p40,IL-12 p70,0.9369456049505231
130,CALI1,F09,AgPool5,5,2304.0,ng/mL,IL-12 p70,IL-12 p70,56.04952569389141
131,CALI1,F10,AgPool5,5,1.509949,ng/mL,IL-12 p70,IL-12 p70,-0.31035497838374226
132,CALI1,G03,AgPool2,2,921.6,ng/mL,IL-23,IL-12 p70,0.06408191534053032
133,CALI1,G04,AgPool2,2,0.60398,ng/mL,IL-23,IL-12 p70,-1.796149394361457
134,CALI1,G07,AgPool4,4,921.6,ng/mL,IL-12 p40,IL-12 p70,-0.327698103125762
