,plate_name,plate_barcode,position,sample,pool,concentration,concentration_unit,sample_ag,variable,value
79,duplicate of reference,duplicate of reference,D06,AgPool3,3.0,9.437184,ng/mL,IL-23,IL-12 p40,5.56976647539462
80,duplicate of reference,duplicate of reference,E03,AgPool2,2.0,5760.0,ng/mL,IL-12 p70,IL-12 p40,45.2910375075765
81,duplicate of reference,duplicate of reference,E04,AgPool2,2.0,3.774874,ng/mL,IL-12 p70,IL-12 p40,2.5570463960633
82,duplicate of reference,duplicate of reference,E05,AgPool3,3.0,5760.0,ng/mL,IL-23,IL-12 p40,126.530881176933
83,duplicate of reference,duplicate of reference,E06,AgPool3,3.0,3.774874,ng/mL,IL-23,IL-12 p40,2.66440683222891
84,duplicate of reference,duplicate of reference,F03,AgPool2,2.0,2304.0,ng/mL,IL-12 p70,IL-12 p40,36.4722848360165
85,duplicate of reference,duplicate of reference,F04,AgPool2,2.0,1.509949,ng/mL,IL-12 p70,IL-12 p40,4.76232744839212
86,duplicate of reference,duplicate of reference,F05,AgPool3,3.0,2304.0,ng/mL,IL-23,IL-12 p40,118.45871356387
87,duplicate of reference,duplicate of reference,F06,AgPool3,3.0,1.509949,ng/mL,IL-23,IL-12 p40,3.18425398907788
88,duplicate of reference,duplicate of reference,G03,AgPool2,2.0,921.6,ng/mL,IL-12 p70,IL-12 p40,29.2091008666904
89,duplicate of reference,duplicate of reference,G04,AgPool2,2.0,0.60398,ng/mL,IL-12 p70,IL-12 p40,2.72550498044712
90,duplicate of reference,duplicate of reference,G05,AgPool3,3.0,921.6,ng/mL,IL-23,IL-12 p40,102.495211247119
91,duplicate of reference,duplicate of reference,G06,AgPool3,3.0,0.60398,ng/mL,IL-23,IL-12 p40,3.25848349165335
92,duplicate of reference,duplicate of reference,H03,AgPool2,2.0,368.64000000000004,ng/mL,IL-12 p70,IL-12 p40,17.6205736341528
93,duplicate of reference,duplicate of reference,H04,AgPool2,2.0,0.241592,ng/mL,IL-12 p70,IL-12 p40,0.477692957359062
94,duplicate of reference,duplicate of reference,H05,AgPool3,3.0,368.64000000000004,ng/mL,IL-23,IL-12 p40,73.4148575545954
95,duplicate of reference,duplicate of reference,H06,AgPool3,3.0,0.241592,ng/mL,IL-23,IL-12 p40,3.36735885031411
96,reference,reference,A03,AgPool2,2.0,225000.0,ng/mL,IL-12 p70,IL-12 p40,78.3309331684064
97,reference,reference,A04,AgPool2,2.0,147.45600000000002,ng/mL,IL-12 p70,IL-12 p40,9.96253646882112
